asof0,asof1,cp,K,T,price0_pde,delta0_pde,price0_bsm,delta0_bsm,S0,S1,T1,price1_pde,price1_bsm,pnl_pde,pnl_bsm,m,T_bucket,m_bucket,pair
2025-09-23,2025-09-24,P,6590.0,0.019178082191780823,34.773314248249285,-0.027863399079110698,17.74959794656752,-0.25711010948031376,6656.92,6637.97,0.01643835616438356,217.76197143583514,20.45138803528289,-1.2280114125491455,-5.572236574651902,0.9890511637612928,1.0-2.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,C,6595.0,0.019178082191780823,104.01526529967785,0.9546531073607288,86.65114395407818,0.7313628161204795,6656.92,6637.97,0.01643835616438356,251.40541332986456,69.76465130602446,-1.4093236155143636,-5.6406746345170475,0.9898015819432057,1.0-2.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,P,6595.0,0.019178082191780823,36.12521216902897,-0.0453468926396574,18.799577566769358,-0.270073305168617,6656.92,6637.97,0.01643835616438356,202.5184913145117,21.73950853643464,-1.4593236155215008,-5.717889132945245,0.9898015819432057,1.0-2.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,C,6600.0,0.019178082191780823,99.8368625468723,0.9228946896593274,82.7511228774838,0.717890187385231,6656.92,6637.97,0.01643835616438356,210.92213015217587,66.117845327336,-1.8111456309559095,-5.69598094905,0.9905520001251187,1.0-2.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,P,6600.0,0.019178082191780823,36.94228321976908,-0.07710531034092968,19.849556929295204,-0.28326550307238507,6656.92,6637.97,0.01643835616438356,167.03072222174154,23.042664795290875,-1.8111456309606049,-5.717881283221647,0.9905520001251187,1.0-2.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,C,6605.0,0.019178082191780823,100.14812181840237,0.951377111725576,78.85110141944097,0.7041715586863628,6656.92,6637.97,0.01643835616438356,258.0042264438078,62.486857566319486,-1.0214037328005041,-5.705948962893549,0.9913024183070317,1.0-2.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,P,6605.0,0.019178082191780823,42.24901629483618,-0.04862288827473176,20.999535130400773,-0.2972020527696896,6656.92,6637.97,0.01643835616438356,219.10833259824355,24.460960940577024,-1.0214037328061596,-5.731978899985565,0.9913024183070317,1.0-2.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,C,6610.0,0.019178082191780823,98.02026663255151,0.9617767305770851,75.15107780722792,0.6892843543203497,6656.92,6637.97,0.01643835616438356,254.7424240715228,59.069990434296415,-0.6743309555644181,-5.838061485629504,0.9920528364889446,1.0-2.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,P,6610.0,0.019178082191780823,45.11663491252127,-0.038223269423375276,22.199512249498184,-0.311621705172286,6656.92,6637.97,0.01643835616438356,220.84204431086522,25.945127615651472,-0.5743309555729524,-5.755231313014761,0.9920528364889446,1.0-2.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,C,6615.0,0.019178082191780823,93.94464114964576,0.928816090671426,71.45105448536742,0.6741765361319538,6656.92,6637.97,0.01643835616438356,220.36934196070237,55.66964970143226,-1.0489350817766514,-5.874354640299604,0.9928032546708576,1.0-2.0%,0.98-1.00,2025-09-23→2025-09-24
