cp,K,T,mid,price_pde,delta_pde,price_err,rq,F_T
P,6635.0,0.0191780821917808,24.1,27.018590274743,-0.4123669106703337,2.918590274743,-0.07887661846599472,6678.35
C,6640.0,0.0191780821917808,63.0,67.1726214878321,0.578882603339892,4.172621487832103,-0.07887661846599472,6678.35
P,6640.0,0.0191780821917808,25.25,28.764565456035474,-0.4211173966600823,3.5145654560354735,-0.07887661846599472,6678.35
C,6645.0,0.0191780821917808,60.75,63.77387037624839,0.5722965556107025,3.0238703762483894,-0.07887661846599472,6678.35
P,6645.0,0.0191780821917808,26.55,30.373383579365374,-0.4277034443892908,3.823383579365373,-0.07887661846599472,6678.35
C,6650.0,0.0191780821917808,57.0,60.37515961176004,0.5662371217136764,3.37515961176004,-0.07887661846599472,6678.35
P,6650.0,0.0191780821917808,28.049999999999997,31.982242049793157,-0.4337628782863284,3.9322420497931603,-0.07887661846599472,6678.35
C,6655.0,0.0191780821917808,46.05,57.17452854183002,0.5006481719920416,11.124528541830024,-0.07887661846599472,6678.35
P,6655.0,0.0191780821917808,29.549999999999997,33.789180214777865,-0.49935182800796135,4.239180214777868,-0.07887661846599472,6678.35
C,6660.0,0.0191780821917808,49.35,54.13273229656908,0.49074422388142275,4.78273229656908,-0.07887661846599472,6678.35
P,6660.0,0.0191780821917808,31.15,35.75495320443251,-0.5092557761185845,4.604953204432512,-0.07887661846599472,6678.35
C,6665.0,0.0191780821917808,46.05,51.117626308112705,0.48124567870713353,5.0676263081127075,-0.07887661846599472,6678.35
P,6665.0,0.0191780821917808,32.75,37.74741645089314,-0.5187543212928659,4.997416450893141,-0.07887661846599472,6678.35
C,6670.0,0.0191780821917808,42.95,47.93417821633361,0.4738618510372035,4.984178216333611,-0.07887661846599472,6678.35
P,6670.0,0.0191780821917808,34.55,39.57153759403057,-0.5261381489628085,5.021537594030576,-0.07887661846599472,6678.35
C,6675.0,0.0191780821917808,39.85,44.79738880622242,0.46661764336916606,4.9473888062224205,-0.07887661846599472,6678.35
