cp,K,T,m,mid,mid1,price0_pde,price1_pde,delta0_pde,price0_bsm,price1_bsm,delta0_bsm,pnl_pde,pnl_bsm,T_bucket,m_bucket
P,6655.0,0.024657534246575342,0.9962961287622742,37.35,23.200000000000003,44.64325060266946,57.80444513325149,-0.521759325059757,216.95801777372753,193.0531831154458,-0.46506728850970164,-2.2851929481412387,-3.574369859289485,2.0-3.0%,0.98-1.00
C,6660.0,0.024657534246575342,0.9970446607898943,57.7,77.3,66.46148294267694,110.73767874094878,0.46347552053206775,214.7417141374367,215.84595752567384,0.5299717246806364,9.060566663100875,7.54844298076244,2.0-3.0%,0.98-1.00
P,6660.0,0.024657534246575342,0.9970446607898943,39.05,24.25,46.69481484945692,58.52747309531365,-0.536524479467922,195.00081842213967,172.42318632959177,-0.4687246718283753,-2.5994333368995672,-4.141200962622845,2.0-3.0%,0.98-1.00
C,6665.0,0.024657534246575342,0.9977931928175143,54.0,73.4,63.62684277077796,105.69182386883658,0.4455644400789397,184.43051752373594,187.05460637522128,0.5258125253829806,9.267864632605015,7.443023172791142,2.0-3.0%,0.98-1.00
P,6665.0,0.024657534246575342,0.9977931928175143,40.75,25.45,48.86670120301346,58.48085981055533,-0.5544355599210182,169.68962230511715,148.63183564486917,-0.47288387112595587,-2.692135367396167,-4.546620770595867,2.0-3.0%,0.98-1.00
C,6670.0,0.024657534246575342,0.9985417248451344,51.35,69.0,60.921851973814015,108.07413519000838,0.4271297558057149,148.83449364913486,153.28827824701057,0.5208624149505522,7.937069352978135,5.805588684024556,2.0-3.0%,0.98-1.00
P,6670.0,0.024657534246575342,0.9985417248451344,42.55,26.65,51.16823693150558,65.86241271907954,-0.5728702441942749,139.09359266422825,119.86550209064717,-0.4778339815586685,-2.8729306470223115,-5.034055259355981,2.0-3.0%,0.98-1.00
C,6675.0,0.024657534246575342,0.9992902568727544,48.65,65.4,58.163446138552054,105.20908557823613,0.41633976864712946,102.86110019907028,109.78321032315944,0.5143583005970129,7.282433660964374,5.053492244424046,2.0-3.0%,0.98-1.00
P,6675.0,0.024657534246575342,0.9992902568727544,44.400000000000006,27.95,53.416357621698836,67.99660469465998,-0.583660231352857,98.12019875360374,81.360433736696,-0.4843380959123317,-3.177566339036165,-5.43615169895369,2.0-3.0%,0.98-1.00
C,6680.0,0.024657534246575342,1.0000387889003746,46.15,61.8,55.47360368960531,100.40818760805861,0.39921683101546807,22.9263414087618,35.4616987715217,0.49928546226477805,6.571809262708342,4.296248588099054,2.0-3.0%,1.00-1.02
