cp,K,T,F,df,mid,iv_parity
P,6685.0,0.0246575342465753,6679.75,1.0,47.9,0.1080395059481041
C,6690.0,0.0246575342465753,6679.75,1.0,40.400000000000006,0.10827187123971518
P,6690.0,0.0246575342465753,6679.75,1.0,50.6,0.10815198322622484
C,6695.0,0.0246575342465753,6679.75,1.0,37.6,0.10697083457336491
P,6695.0,0.0246575342465753,6679.75,1.0,53.35,0.10817532369602154
C,6700.0,0.0246575342465753,6679.75,1.0,35.05,0.10604827555853798
P,6700.0,0.0246575342465753,6679.75,1.0,54.0,0.10289290465585564
C,6705.0,0.0246575342465753,6679.75,1.0,32.5,0.10489604246632082
P,6705.0,0.0246575342465753,6679.75,1.0,56.35,0.10146476022093737
C,6710.0,0.0246575342465753,6679.75,1.0,30.1,0.103873983867402
P,6710.0,0.0246575342465753,6679.75,1.0,60.0,0.10300650353594117
C,6715.0,0.0246575342465753,6679.75,1.0,27.85,0.1029828139982507
P,6715.0,0.0246575342465753,6679.75,1.0,63.0,0.10273146015462029
C,6720.0,0.0246575342465753,6679.75,1.0,25.65,0.10197010432421354
P,6720.0,0.0246575342465753,6679.75,1.0,66.0,0.10222570111281296
C,6725.0,0.0246575342465753,6679.75,1.0,23.55,0.10095692578645313
P,6725.0,0.0246575342465753,6679.75,1.0,67.19999999999999,0.09676793650297148
C,6730.0,0.0246575342465753,6679.75,1.0,21.6,0.10007430973120059
P,6730.0,0.0246575342465753,6679.75,1.0,72.0,0.10047427961820776
C,6735.0,0.0246575342465753,6679.75,1.0,19.75,0.09919397905658857
P,6735.0,0.0246575342465753,6679.75,1.0,75.0,0.09919397905658857
C,6740.0,0.0246575342465753,6679.75,1.0,18.05,0.09845711169148164
P,6740.0,0.0246575342465753,6679.75,1.0,78.0,0.09761100928563468
C,6745.0,0.0246575342465753,6679.75,1.0,16.4,0.09758789604578767
P,6745.0,0.0246575342465753,6679.75,1.0,81.0,0.09568994432791414
C,6750.0,0.0246575342465753,6679.75,1.0,14.9,0.09687628386104287
P,6750.0,0.0246575342465753,6679.75,1.0,84.0,0.09338217978081331
