K,T,C,P,F,moneyness
6665.0,0.0273972602739726,61.35,44.15,6682.2,0.9974259974259975
6670.0,0.0273972602739726,58.15,45.85,6682.3,0.9981593164030349
6675.0,0.0273972602739726,55.0,47.75,6682.25,0.9989150361031089
6680.0,0.0273972602739726,51.95,49.7,6682.25,0.9996632870664821
6685.0,0.0273972602739726,48.85,51.75,6682.1,1.0004339953008785
6690.0,0.0273972602739726,45.8,53.8,6682.0,1.001197246333433
6695.0,0.0273972602739726,43.35,56.0,6682.35,1.001893046607855
6700.0,0.0273972602739726,40.65,58.25,6682.4,1.0026337842691249
6705.0,0.0273972602739726,38.0,61.599999999999994,6681.4,1.003532193851588
6710.0,0.0273972602739726,35.45,63.85,6681.6,1.004250478927203
6715.0,0.0273972602739726,33.05,66.45,6681.6,1.0049988026819923
6720.0,0.0273972602739726,30.75,68.9,6681.85,1.0057094966214446
6725.0,0.0273972602739726,28.55,72.19999999999999,6681.35,1.0065331108234115
6730.0,0.0273972602739726,26.45,75.1,6681.35,1.0072814625786704
6735.0,0.0273972602739726,24.45,77.3,6682.15,1.0079091310431523
6740.0,0.0273972602739726,22.55,80.6,6681.95,1.008687583714335
6745.0,0.0273972602739726,20.75,83.44999999999999,6682.3,1.0093829968723345
6750.0,0.0273972602739726,19.05,87.15,6681.9,1.0101917119382213
6755.0,0.0273972602739726,17.45,90.1,6682.35,1.0108719237992623
6760.0,0.0273972602739726,15.05,93.55,6681.5,1.011748858789194
6615.0,0.03561643835616438,102.0,33.85,6683.15,0.9898027127926203
6620.0,0.03561643835616438,96.0,35.0,6681.0,0.9908696302948661
6625.0,0.03561643835616438,94.55,36.349999999999994,6683.2,0.9912915968398373
6630.0,0.03561643835616438,90.0,37.599999999999994,6682.4,0.9921585059260146
6635.0,0.03561643835616438,87.0,38.95,6683.05,0.9928101690096587
6640.0,0.03561643835616438,81.0,40.3,6680.7,0.993907824030416
6645.0,0.03561643835616438,78.0,41.8,6681.2,0.9945818116506017
6650.0,0.03561643835616438,75.0,43.400000000000006,6681.6,0.9952705938697317
6655.0,0.03561643835616438,72.0,44.9,6682.1,0.9959443887400667
6660.0,0.03561643835616438,68.80000000000001,46.55,6682.25,0.9966702832129897
6665.0,0.03561643835616438,66.0,48.3,6682.7,0.9973513699552576
6670.0,0.03561643835616438,63.0,50.1,6682.9,0.9980697002798187
6675.0,0.03561643835616438,60.0,52.0,6683.0,0.9988029328146042
6680.0,0.03561643835616438,56.8,53.95,6682.85,0.999573535243197
6685.0,0.03561643835616438,52.9,55.9,6682.0,1.0004489673750374
6690.0,0.03561643835616438,50.05,57.0,6683.05,1.0010399443367923
6695.0,0.03561643835616438,47.2,60.0,6682.2,1.0019155367992578
6700.0,0.03561643835616438,44.5,62.65,6681.85,1.0027163135957855
6705.0,0.03561643835616438,41.849999999999994,66.0,6680.85,1.003614809492804
6710.0,0.03561643835616438,39.3,66.0,6683.3,1.0039950323941764
6715.0,0.03561643835616438,36.849999999999994,69.0,6682.85,1.0048108217302498
6720.0,0.03561643835616438,34.55,72.0,6682.55,1.005604148117111
6725.0,0.03561643835616438,32.3,75.0,6682.3,1.0063900154138545
6730.0,0.03561643835616438,30.1,78.0,6682.1,1.007168405142096
6735.0,0.03561643835616438,28.049999999999997,81.0,6682.05,1.0079242148741778
6740.0,0.03561643835616438,26.1,84.0,6682.1,1.0086649406623667
6745.0,0.03561643835616438,24.15,87.0,6682.15,1.0094056553654138
6750.0,0.03561643835616438,22.35,94.25,6678.1,1.010766535391803
6755.0,0.03561643835616438,20.700000000000003,93.0,6682.7,1.010818980352253
6760.0,0.03561643835616438,19.3,96.0,6683.3,1.011476366465668
6605.0,0.038356164383561646,111.0,34.55,6681.45,0.988557872916807
6610.0,0.038356164383561646,108.0,35.6,6682.4,0.9891655692565546
6615.0,0.038356164383561646,105.0,37.0,6683.0,0.9898249289241359
6620.0,0.038356164383561646,102.0,38.0,6684.0,0.990424895272292
6625.0,0.038356164383561646,96.0,39.349999999999994,6681.65,0.9915215553044533
6630.0,0.038356164383561646,93.0,40.75,6682.25,0.9921807774327509
6635.0,0.038356164383561646,90.0,41.95,6683.05,0.9928101690096587
6640.0,0.038356164383561646,87.0,43.25,6683.75,0.9934542734243501
6645.0,0.038356164383561646,84.0,44.8,6684.2,0.9941354238353132
6650.0,0.038356164383561646,86.05,46.3,6689.75,0.9940580739190553
6655.0,0.038356164383561646,75.0,48.0,6682.0,0.9959592936246633
6660.0,0.038356164383561646,72.0,49.85,6682.15,0.9966851986261908
6665.0,0.038356164383561646,69.0,51.5,6682.5,0.9973812196034418
6670.0,0.038356164383561646,73.5,53.150000000000006,6690.35,0.9969583056192874
6675.0,0.038356164383561646,70.45,55.0,6690.45,0.9976907382911464
6680.0,0.038356164383561646,59.7,56.9,6682.8,0.9995810139462501
6685.0,0.038356164383561646,56.75,58.95,6682.8,1.0003292033279463
6690.0,0.038356164383561646,53.8,61.1,6682.7,1.0010923728433119
6695.0,0.038356164383561646,51.0,63.0,6683.0,1.0017956007780937
6700.0,0.038356164383561646,48.65,58.4,6690.25,1.0014573446433241
6705.0,0.038356164383561646,45.6,69.0,6681.6,1.0035021551724137
6710.0,0.038356164383561646,43.1,69.0,6684.1,1.0038748672222138
6715.0,0.038356164383561646,40.6,72.0,6683.6,1.0046980669100485
6720.0,0.038356164383561646,38.5,75.0,6683.5,1.0054612104436298
6725.0,0.038356164383561646,36.2,78.0,6683.2,1.0062544888676084
6730.0,0.038356164383561646,33.7,81.0,6682.7,1.0070779774641987
6740.0,0.038356164383561646,29.549999999999997,89.9,6679.65,1.0090349045234406
6750.0,0.038356164383561646,26.0,93.0,6683.0,1.0100254376776896
6760.0,0.038356164383561646,22.299999999999997,99.0,6683.3,1.011476366465668
6770.0,0.038356164383561646,19.15,108.9,6680.25,1.0134351259309158
6605.0,0.0410958904109589,118.65,38.85,6684.8,0.9880624700813786
6610.0,0.0410958904109589,114.0,40.05,6683.95,0.9889361829457133
6615.0,0.0410958904109589,108.0,41.3,6681.7,0.9900175105137914
6620.0,0.0410958904109589,105.0,42.4,6682.6,0.9906323885912668
6625.0,0.0410958904109589,102.0,43.95,6683.05,0.9913138462229072
6630.0,0.0410958904109589,99.0,45.150000000000006,6683.85,0.9919432662312888
6635.0,0.0410958904109589,96.0,46.5,6684.5,0.9925948088862293
6640.0,0.0410958904109589,90.2,47.849999999999994,6682.35,0.9936624091823983
6645.0,0.0410958904109589,87.0,49.45,6682.55,0.9943808875354467
6650.0,0.0410958904109589,84.0,51.0,6683.0,0.9950620978602424
6655.0,0.0410958904109589,81.0,52.7,6683.3,0.9957655649155357
6660.0,0.0410958904109589,78.0,54.25,6683.75,0.9964466055732186
6665.0,0.0410958904109589,82.15,55.95,6691.2,0.9960844093735055
6670.0,0.0410958904109589,71.35,57.900000000000006,6683.45,0.9979875663018352
6675.0,0.0410958904109589,69.0,59.75,6684.25,0.9986161499046265
6680.0,0.0410958904109589,64.9,61.75,6683.15,0.9995286653748607
6685.0,0.0410958904109589,61.9,63.7,6683.2,1.0002693320565
6690.0,0.0410958904109589,59.0,65.8,6683.2,1.0010174766578885
6695.0,0.0410958904109589,56.15,61.8,6689.35,1.0008446261594923
6700.0,0.0410958904109589,53.8,69.9,6683.9,1.0024087733209655
6705.0,0.0410958904109589,50.7,72.0,6683.7,1.003186857578886
6710.0,0.0410958904109589,48.35,75.0,6683.35,1.0039875212281266
6720.0,0.0410958904109589,43.099999999999994,81.0,6682.1,1.0056718696218254
6725.0,0.0410958904109589,41.1,84.0,6682.1,1.0064201373819608
6730.0,0.0410958904109589,38.8,84.0,6684.8,1.0067616084250837
6740.0,0.0410958904109589,34.45,90.0,6684.45,1.0083103321888862
6750.0,0.0410958904109589,30.4,96.0,6684.4,1.0098138950391957
6760.0,0.0410958904109589,26.75,102.0,6684.75,1.0112569654811325
6770.0,0.0410958904109589,23.4,111.0,6682.4,1.0131090626122352
6775.0,0.0410958904109589,21.55,114.0,6682.55,1.0138345392103314
6605.0,0.043835616438356165,120.7,41.849999999999994,6683.85,0.9882029070071889
6610.0,0.043835616438356165,118.5,43.15,6685.35,0.9887290867344267
6615.0,0.043835616438356165,114.0,44.4,6684.6,0.9895880082577865
6620.0,0.043835616438356165,111.0,45.7,6685.3,0.990232300719489
6625.0,0.043835616438356165,105.0,47.05,6682.95,0.9913286796998332
6630.0,0.043835616438356165,102.0,48.2,6683.8,0.9919506867350908
6635.0,0.043835616438356165,99.0,49.15,6684.85,0.9925428394055213
6640.0,0.043835616438356165,96.0,51.25,6684.75,0.9933056584015857
6645.0,0.043835616438356165,93.0,52.6,6685.4,0.9939569808837168
6650.0,0.043835616438356165,87.0,54.35,6682.65,0.9951142136727197
6655.0,0.043835616438356165,81.35,55.95,6680.4,0.996197832465122
6660.0,0.043835616438356165,81.0,57.6,6683.4,0.9964987880420146
6665.0,0.043835616438356165,78.0,59.35,6683.65,0.9972096085222896
6670.0,0.043835616438356165,82.55,61.15,6691.4,0.9968018650805512
6675.0,0.043835616438356165,72.0,62.8,6684.2,0.9986236198797164
6680.0,0.043835616438356165,69.05,64.7,6684.35,0.9993492261775639
6685.0,0.043835616438356165,66.0,66.95,6684.05,1.0001421293975958
6690.0,0.043835616438356165,63.0,69.0,6684.0,1.0008976660682227
6695.0,0.043835616438356165,60.099999999999994,72.0,6683.1,1.0017806107943918
6700.0,0.043835616438356165,57.7,72.0,6685.7,1.0021388934591742
6705.0,0.043835616438356165,54.85,80.2,6679.65,1.0037951090251735
6710.0,0.043835616438356165,51.95,78.0,6683.95,1.0038973960008677
6720.0,0.043835616438356165,46.900000000000006,84.0,6682.9,1.0055514821409868
6725.0,0.043835616438356165,44.5,87.0,6682.5,1.0063598952487842
6730.0,0.043835616438356165,42.2,87.0,6685.2,1.0067013701908694
6740.0,0.043835616438356165,37.85,93.0,6684.85,1.0082499981301
6750.0,0.043835616438356165,34.2,99.0,6685.2,1.0096930533117932
6760.0,0.043835616438356165,30.05,105.0,6685.05,1.0112115840569629
6770.0,0.043835616438356165,26.25,115.45,6680.8,1.0133516944078553
6775.0,0.043835616438356165,24.6,114.0,6685.6,1.0133720234533923
6655.0,0.04657534246575343,81.55,57.0,6679.55,0.996324602705272
6655.0,0.04657534246575343,81.55,58.25,6678.3,0.9965110881511762
6655.0,0.04657534246575343,93.95,57.0,6691.95,0.9944784405143493
6655.0,0.04657534246575343,93.95,58.25,6690.7,0.9946642354312702
6660.0,0.04657534246575343,90.9,58.599999999999994,6692.3,0.9951735576707559
6660.0,0.04657534246575343,90.9,59.95,6690.95,0.9953743489340079
6660.0,0.04657534246575343,90.45,58.599999999999994,6691.85,0.9952404790902366
6660.0,0.04657534246575343,90.45,59.95,6690.5,0.9954412973619311
6665.0,0.04657534246575343,88.15,60.3,6692.85,0.9958388429443361
6665.0,0.04657534246575343,88.15,61.650000000000006,6691.5,0.9960397519240828
6665.0,0.04657534246575343,83.4,60.3,6688.1,0.9965461042747567
6665.0,0.04657534246575343,83.4,61.650000000000006,6686.75,0.996747298762478
6670.0,0.04657534246575343,85.55,62.099999999999994,6693.45,0.9964965750098977
6670.0,0.04657534246575343,85.55,63.55,6692.0,0.9967124925283921
6670.0,0.04657534246575343,80.19999999999999,62.099999999999994,6688.1,0.997293700752082
6670.0,0.04657534246575343,80.19999999999999,63.55,6686.65,0.99750996388326
6675.0,0.04657534246575343,82.45,63.95,6693.5,0.9972361245984911
6675.0,0.04657534246575343,82.45,65.25,6692.2,0.9974298436986343
6675.0,0.04657534246575343,80.35,63.95,6691.4,0.9975490928654691
6675.0,0.04657534246575343,80.35,65.25,6690.1,0.9977429335884366
6680.0,0.04657534246575343,79.4,65.8,6693.6,0.9979682084379108
6680.0,0.04657534246575343,79.4,67.15,6692.25,0.9981695244499235
6680.0,0.04657534246575343,77.45,65.8,6691.65,0.9982590243064118
6680.0,0.04657534246575343,77.45,67.15,6690.3,0.9984604576775331
6685.0,0.04657534246575343,69.5,67.7,6686.8,0.9997308129449064
6685.0,0.04657534246575343,69.5,69.05,6685.45,0.9999326896469198
6685.0,0.04657534246575343,70.9,67.7,6688.2,0.9995215454083312
6685.0,0.04657534246575343,70.9,69.05,6686.85,0.9997233375954298
6690.0,0.04657534246575343,66.5,69.75,6686.75,1.000486035817101
6690.0,0.04657534246575343,66.5,71.25,6685.25,1.0007105194270969
6690.0,0.04657534246575343,67.9,69.75,6688.15,1.000276608628694
6690.0,0.04657534246575343,67.9,71.25,6686.65,1.0005009982577224
6695.0,0.04657534246575343,63.599999999999994,71.85,6686.75,1.0012337832280256
6695.0,0.04657534246575343,63.599999999999994,73.35,6685.25,1.001458434613515
6695.0,0.04657534246575343,65.05,71.85,6688.2,1.0010167160072965
6695.0,0.04657534246575343,65.05,73.35,6686.7,1.001241269983699
6700.0,0.04657534246575343,60.75,67.35,6693.4,1.0009860459557176
6700.0,0.04657534246575343,60.75,71.69999999999999,6689.05,1.0016370037598763
6700.0,0.04657534246575343,62.2,67.35,6694.85,1.0007692480040629
6700.0,0.04657534246575343,62.2,71.69999999999999,6690.5,1.0014199237725132
6705.0,0.04657534246575343,58.0,82.8,6680.2,1.0037124636986916
6705.0,0.04657534246575343,58.0,77.45,6685.55,1.0029092595224027
6705.0,0.04657534246575343,59.4,82.8,6681.6,1.0035021551724137
6705.0,0.04657534246575343,59.4,77.45,6686.95,1.0026992874180307
6710.0,0.04657534246575343,55.3,78.0,6687.3,1.0033944940409432
6710.0,0.04657534246575343,55.3,80.75,6684.55,1.0038072869527492
6710.0,0.04657534246575343,56.7,78.0,6688.7,1.0031844753091035
6710.0,0.04657534246575343,56.7,80.75,6685.95,1.003597095401551
6715.0,0.04657534246575343,52.7,81.0,6686.7,1.0042322819926122
6715.0,0.04657534246575343,52.7,82.05000000000001,6685.65,1.0043899994764907
6715.0,0.04657534246575343,54.1,81.0,6688.1,1.0040220690480106
