cp,K,T,mid,price_fit,F,df,err,abs_err,price_bsm,bsm_err,bsm_abs_err
C,6730.0,0.021917808219178082,17.85,34.86294253230139,6679.15,1.0,17.012942532301388,17.012942532301388,0.0,-17.85,17.85
P,6730.0,0.021917808219178082,69.0,34.86294253230139,6679.15,1.0,-34.13705746769861,34.13705746769861,355.26564491557883,286.26564491557883,286.26564491557883
C,6735.0,0.021917808219178082,15.15,33.69655999456607,6679.15,1.0,18.546559994566074,18.546559994566074,0.0,-15.15,15.15
P,6735.0,0.021917808219178082,72.0,33.69655999456607,6679.15,1.0,-38.30344000543393,38.30344000543393,373.7089244690724,301.7089244690724,301.7089244690724
C,6740.0,0.021917808219178082,14.55,32.53017745683076,6679.15,1.0,17.980177456830756,17.980177456830756,0.0,-14.55,14.55
P,6740.0,0.021917808219178082,75.0,32.53017745683076,6679.15,1.0,-42.46982254316924,42.46982254316924,391.46715877175257,316.46715877175257,316.46715877175257
C,6745.0,0.021917808219178082,13.05,31.36379491909544,6679.15,1.0,18.31379491909544,18.31379491909544,0.0,-13.05,13.05
P,6745.0,0.021917808219178082,78.0,31.36379491909544,6679.15,1.0,-46.63620508090456,46.63620508090456,408.6238409784223,330.6238409784223,330.6238409784223
C,6750.0,0.021917808219178082,11.6,30.197412381360124,6679.15,1.0,18.597412381360122,18.597412381360122,0.0,-11.6,11.6
P,6750.0,0.021917808219178082,84.0,30.197412381360124,6679.15,1.0,-53.802587618639876,53.802587618639876,425.2468135434451,341.2468135434451,341.2468135434451
C,6755.0,0.021917808219178082,10.35,29.031029843624808,6679.15,1.0,18.681029843624806,18.681029843624806,0.0,-10.35,10.35
P,6755.0,0.021917808219178082,87.0,29.031029843624808,6679.15,1.0,-57.96897015637519,57.96897015637519,441.3921321813964,354.3921321813964,354.3921321813964
C,6760.0,0.021917808219178082,9.15,27.86464730588949,6679.15,1.0,18.714647305889493,18.714647305889493,0.0,-9.15,9.15
P,6760.0,0.021917808219178082,90.0,27.86464730588949,6679.15,1.0,-62.13535269411051,62.13535269411051,457.1067177378877,367.1067177378877,367.1067177378877
C,6615.0,0.024657534246575342,91.5,71.13863129336717,6679.75,1.0,-20.36136870663283,20.36136870663283,403.11845564412397,311.61845564412397,311.61845564412397
P,6615.0,0.024657534246575342,26.700000000000003,6.388631293367169,6679.75,1.0,-20.311368706632834,20.311368706632834,0.0,-26.700000000000003,26.700000000000003
C,6620.0,0.024657534246575342,87.0,69.30095900832539,6679.75,1.0,-17.699040991674607,17.699040991674607,386.0387890064221,299.0387890064221,299.0387890064221
P,6620.0,0.024657534246575342,27.95,9.550959008325393,6679.75,1.0,-18.399040991674607,18.399040991674607,0.0,-27.95,27.95
C,6625.0,0.024657534246575342,84.0,67.46328672328362,6679.75,1.0,-16.536713276716384,16.536713276716384,368.33235211033616,284.33235211033616,284.33235211033616
P,6625.0,0.024657534246575342,29.0,12.713286723283616,6679.75,1.0,-16.286713276716384,16.286713276716384,313.5823582357875,284.5823582357875,284.5823582357875
C,6630.0,0.024657534246575342,81.0,65.62561443824183,6679.75,1.0,-15.374385561758174,15.374385561758174,349.91119284171054,268.91119284171054,268.91119284171054
P,6630.0,0.024657534246575342,30.2,15.875614438241826,6679.75,1.0,-14.324385561758174,14.324385561758174,300.16119351736916,269.96119351736917,269.96119351736917
C,6635.0,0.024657534246575342,75.0,63.78794215320005,6679.75,1.0,-11.21205784679995,11.21205784679995,330.66459951596926,255.66459951596926,255.66459951596926
P,6635.0,0.024657534246575342,31.5,19.03794215320005,6679.75,1.0,-12.46205784679995,12.46205784679995,285.91460474508494,254.41460474508494,254.41460474508494
C,6640.0,0.024657534246575342,72.0,61.95026986815827,6679.75,1.0,-10.049730131841727,10.049730131841727,310.44989704923,238.44989704923,238.44989704923
P,6640.0,0.024657534246575342,32.900000000000006,22.200269868158273,6679.75,1.0,-10.699730131841733,10.699730131841733,270.69989665499224,237.79989665499224,237.79989665499224
C,6645.0,0.024657534246575342,69.0,60.11259758311648,6679.75,1.0,-8.887402416883518,8.887402416883518,289.07778238127,220.07778238127003,220.07778238127003
P,6645.0,0.024657534246575342,34.3,25.362597583116482,6679.75,1.0,-8.937402416883515,8.937402416883515,254.32777662730905,220.02777662730904,220.02777662730904
C,6650.0,0.024657534246575342,65.6,58.274925298074706,6679.75,1.0,-7.325074701925288,7.325074701925288,266.2877590673497,200.68775906734973,200.68775906734973
P,6650.0,0.024657534246575342,35.8,28.524925298074706,6679.75,1.0,-7.275074701925291,7.275074701925291,236.53775935681324,200.73775935681323,200.73775935681323
C,6655.0,0.024657534246575342,55.2,56.437253013032915,6679.75,1.0,1.2372530130329125,1.2372530130329125,241.70378473634082,186.50378473634083,186.50378473634083
P,6655.0,0.024657534246575342,37.35,31.687253013032915,6679.75,1.0,-5.662746986967086,5.662746986967086,216.95378025692662,179.60378025692663,179.60378025692663
